CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,48
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,46
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,88
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,41
CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,54
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,137
CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,176
CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,27
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,667
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,71
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,105
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,94
CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,275
CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,1045.88
CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,3951.13
N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc([N+](=O)[O-])cc1,7581.88
CN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,890.23
CCN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,936.58
N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc(N)cc1,3790.94
CCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCC)cc3)nc(-c3ccc(-c4ccc(-c5nc(/C=C/c6ccc(OCCCCCCCC)cc6)cc(/C=C/c6ccc(OCCCCCCCC)cc6)n5)s4)s3)n2)cc1,1352
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccc1,187
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccn1,156
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1cccnc1,215
CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccc3)s2)cc1,422
CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccn3)s2)cc1,820
